"site_code","daterange","soil_moisture"
"bldr.us","X20110301T00_volumetric_soil_water_layer_1",0.375518798828125
"bldr.us","X20110301T01_volumetric_soil_water_layer_1",0.374374389648438
"bldr.us","X20110301T02_volumetric_soil_water_layer_1",0.373382568359375
"bldr.us","X20110301T03_volumetric_soil_water_layer_1",0.37261962890625
"bldr.us","X20110301T04_volumetric_soil_water_layer_1",0.371917724609375
"bldr.us","X20110301T05_volumetric_soil_water_layer_1",0.371246337890625
"bldr.us","X20110301T06_volumetric_soil_water_layer_1",0.370590209960938
"bldr.us","X20110301T07_volumetric_soil_water_layer_1",0.3699951171875
"bldr.us","X20110301T08_volumetric_soil_water_layer_1",0.369400024414062
"bldr.us","X20110301T09_volumetric_soil_water_layer_1",0.368820190429688
"bldr.us","X20110301T10_volumetric_soil_water_layer_1",0.368270874023438
"bldr.us","X20110301T11_volumetric_soil_water_layer_1",0.367752075195312
"bldr.us","X20110301T12_volumetric_soil_water_layer_1",0.367233276367188
"bldr.us","X20110301T13_volumetric_soil_water_layer_1",0.366744995117188
"bldr.us","X20110301T14_volumetric_soil_water_layer_1",0.366256713867188
"bldr.us","X20110301T15_volumetric_soil_water_layer_1",0.365814208984375
"bldr.us","X20110301T16_volumetric_soil_water_layer_1",0.365585327148438
"bldr.us","X20110301T17_volumetric_soil_water_layer_1",0.366943359375
"bldr.us","X20110301T18_volumetric_soil_water_layer_1",0.368988037109375
"bldr.us","X20110301T19_volumetric_soil_water_layer_1",0.370697021484375
"bldr.us","X20110301T20_volumetric_soil_water_layer_1",0.371200561523438
"bldr.us","X20110301T21_volumetric_soil_water_layer_1",0.371246337890625
"bldr.us","X20110301T22_volumetric_soil_water_layer_1",0.3702392578125
"bldr.us","X20110301T23_volumetric_soil_water_layer_1",0.368972778320312
"bldr.us","X20110302T00_volumetric_soil_water_layer_1",0.367706298828125
"bldr.us","X20110302T01_volumetric_soil_water_layer_1",0.36688232421875
"bldr.us","X20110302T02_volumetric_soil_water_layer_1",0.366226196289062
"bldr.us","X20110302T03_volumetric_soil_water_layer_1",0.365676879882812
"bldr.us","X20110302T04_volumetric_soil_water_layer_1",0.36517333984375
"bldr.us","X20110302T05_volumetric_soil_water_layer_1",0.36468505859375
"bldr.us","X20110302T06_volumetric_soil_water_layer_1",0.364227294921875
"bldr.us","X20110302T07_volumetric_soil_water_layer_1",0.363800048828125
"bldr.us","X20110302T08_volumetric_soil_water_layer_1",0.363357543945312
"bldr.us","X20110302T09_volumetric_soil_water_layer_1",0.362945556640625
"bldr.us","X20110302T10_volumetric_soil_water_layer_1",0.362533569335938
"bldr.us","X20110302T11_volumetric_soil_water_layer_1",0.362152099609375
"bldr.us","X20110302T12_volumetric_soil_water_layer_1",0.36175537109375
"bldr.us","X20110302T13_volumetric_soil_water_layer_1",0.361373901367188
"bldr.us","X20110302T14_volumetric_soil_water_layer_1",0.36102294921875
"bldr.us","X20110302T15_volumetric_soil_water_layer_1",0.360641479492188
"bldr.us","X20110302T16_volumetric_soil_water_layer_1",0.360382080078125
"bldr.us","X20110302T17_volumetric_soil_water_layer_1",0.360931396484375
"bldr.us","X20110302T18_volumetric_soil_water_layer_1",0.36175537109375
"bldr.us","X20110302T19_volumetric_soil_water_layer_1",0.362411499023438
"bldr.us","X20110302T20_volumetric_soil_water_layer_1",0.361648559570312
"bldr.us","X20110302T21_volumetric_soil_water_layer_1",0.360687255859375
"bldr.us","X20110302T22_volumetric_soil_water_layer_1",0.359634399414062
"bldr.us","X20110302T23_volumetric_soil_water_layer_1",0.358642578125
"bldr.us","X20110303T00_volumetric_soil_water_layer_1",0.357818603515625
"bldr.us","X20110303T01_volumetric_soil_water_layer_1",0.357406616210938
"bldr.us","X20110303T02_volumetric_soil_water_layer_1",0.357040405273438
"bldr.us","X20110303T03_volumetric_soil_water_layer_1",0.356704711914062
"bldr.us","X20110303T04_volumetric_soil_water_layer_1",0.356399536132812
"bldr.us","X20110303T05_volumetric_soil_water_layer_1",0.356094360351562
"bldr.us","X20110303T06_volumetric_soil_water_layer_1",0.355819702148438
"bldr.us","X20110303T07_volumetric_soil_water_layer_1",0.35552978515625
"bldr.us","X20110303T08_volumetric_soil_water_layer_1",0.355270385742188
"bldr.us","X20110303T09_volumetric_soil_water_layer_1",0.355010986328125
"bldr.us","X20110303T10_volumetric_soil_water_layer_1",0.354766845703125
"bldr.us","X20110303T11_volumetric_soil_water_layer_1",0.354507446289062
"bldr.us","X20110303T12_volumetric_soil_water_layer_1",0.354263305664062
"bldr.us","X20110303T13_volumetric_soil_water_layer_1",0.354019165039062
"bldr.us","X20110303T14_volumetric_soil_water_layer_1",0.353775024414062
"bldr.us","X20110303T15_volumetric_soil_water_layer_1",0.353485107421875
"bldr.us","X20110303T16_volumetric_soil_water_layer_1",0.35345458984375
"bldr.us","X20110303T17_volumetric_soil_water_layer_1",0.353668212890625
"bldr.us","X20110303T18_volumetric_soil_water_layer_1",0.353118896484375
"bldr.us","X20110303T19_volumetric_soil_water_layer_1",0.35223388671875
"bldr.us","X20110303T20_volumetric_soil_water_layer_1",0.351058959960938
"bldr.us","X20110303T21_volumetric_soil_water_layer_1",0.34979248046875
"bldr.us","X20110303T22_volumetric_soil_water_layer_1",0.348602294921875
"bldr.us","X20110303T23_volumetric_soil_water_layer_1",0.347915649414062
"bldr.us","X20110304T00_volumetric_soil_water_layer_1",0.347503662109375
"bldr.us","X20110304T01_volumetric_soil_water_layer_1",0.347640991210938
"bldr.us","X20110304T02_volumetric_soil_water_layer_1",0.348464965820312
"bldr.us","X20110304T03_volumetric_soil_water_layer_1",0.350555419921875
"bldr.us","X20110304T04_volumetric_soil_water_layer_1",0.359085083007812
"bldr.us","X20110304T05_volumetric_soil_water_layer_1",0.371231079101562
"bldr.us","X20110304T06_volumetric_soil_water_layer_1",0.387496948242188
"bldr.us","X20110304T07_volumetric_soil_water_layer_1",0.385482788085938
"bldr.us","X20110304T08_volumetric_soil_water_layer_1",0.383636474609375
"bldr.us","X20110304T09_volumetric_soil_water_layer_1",0.384841918945312
"bldr.us","X20110304T10_volumetric_soil_water_layer_1",0.391510009765625
"bldr.us","X20110304T11_volumetric_soil_water_layer_1",0.390396118164062
"bldr.us","X20110304T12_volumetric_soil_water_layer_1",0.388427734375
"bldr.us","X20110304T13_volumetric_soil_water_layer_1",0.386459350585938
"bldr.us","X20110304T14_volumetric_soil_water_layer_1",0.389663696289062
"bldr.us","X20110304T15_volumetric_soil_water_layer_1",0.389480590820312
"bldr.us","X20110304T16_volumetric_soil_water_layer_1",0.389358520507812
"bldr.us","X20110304T17_volumetric_soil_water_layer_1",0.38885498046875
"bldr.us","X20110304T18_volumetric_soil_water_layer_1",0.389389038085938
"bldr.us","X20110304T19_volumetric_soil_water_layer_1",0.393402099609375
"bldr.us","X20110304T20_volumetric_soil_water_layer_1",0.398773193359375
"bldr.us","X20110304T21_volumetric_soil_water_layer_1",0.403518676757812
"bldr.us","X20110304T22_volumetric_soil_water_layer_1",0.410049438476562
"bldr.us","X20110304T23_volumetric_soil_water_layer_1",0.417938232421875
"bldr.us","X20110305T00_volumetric_soil_water_layer_1",0.419601440429688
"bldr.us","X20110305T01_volumetric_soil_water_layer_1",0.41412353515625
"bldr.us","X20110305T02_volumetric_soil_water_layer_1",0.410812377929688
"bldr.us","X20110305T03_volumetric_soil_water_layer_1",0.407608032226562
"bldr.us","X20110305T04_volumetric_soil_water_layer_1",0.404312133789062
"bldr.us","X20110305T05_volumetric_soil_water_layer_1",0.401443481445312
"bldr.us","X20110305T06_volumetric_soil_water_layer_1",0.39892578125
"bldr.us","X20110305T07_volumetric_soil_water_layer_1",0.396682739257812
"bldr.us","X20110305T08_volumetric_soil_water_layer_1",0.394699096679688
"bldr.us","X20110305T09_volumetric_soil_water_layer_1",0.392929077148438
"bldr.us","X20110305T10_volumetric_soil_water_layer_1",0.391342163085938
"bldr.us","X20110305T11_volumetric_soil_water_layer_1",0.389892578125
"bldr.us","X20110305T12_volumetric_soil_water_layer_1",0.388565063476562
"bldr.us","X20110305T13_volumetric_soil_water_layer_1",0.387344360351562
"bldr.us","X20110305T14_volumetric_soil_water_layer_1",0.386215209960938
