"site_code","daterange","soil_moisture"
"bnch.us","X20110401T00_volumetric_soil_water_layer_1",0.4110413
"bnch.us","X20110401T01_volumetric_soil_water_layer_1",0.4244537
"bnch.us","X20110401T02_volumetric_soil_water_layer_1",0.4314575
"bnch.us","X20110401T03_volumetric_soil_water_layer_1",0.4345245
"bnch.us","X20110401T04_volumetric_soil_water_layer_1",0.4338837
"bnch.us","X20110401T05_volumetric_soil_water_layer_1",0.4309387
"bnch.us","X20110401T06_volumetric_soil_water_layer_1",0.4273376
"bnch.us","X20110401T07_volumetric_soil_water_layer_1",0.4249878
"bnch.us","X20110401T08_volumetric_soil_water_layer_1",0.4219971
"bnch.us","X20110401T09_volumetric_soil_water_layer_1",0.4196014
"bnch.us","X20110401T10_volumetric_soil_water_layer_1",0.4175262
"bnch.us","X20110401T11_volumetric_soil_water_layer_1",0.4157104
"bnch.us","X20110401T12_volumetric_soil_water_layer_1",0.414093
"bnch.us","X20110401T13_volumetric_soil_water_layer_1",0.4126282
"bnch.us","X20110401T14_volumetric_soil_water_layer_1",0.4112854
"bnch.us","X20110401T15_volumetric_soil_water_layer_1",0.4107208
"bnch.us","X20110401T16_volumetric_soil_water_layer_1",0.4212646
"bnch.us","X20110401T17_volumetric_soil_water_layer_1",0.4363403
"bnch.us","X20110401T18_volumetric_soil_water_layer_1",0.4342651
"bnch.us","X20110401T19_volumetric_soil_water_layer_1",0.4260864
"bnch.us","X20110401T20_volumetric_soil_water_layer_1",0.4343567
"bnch.us","X20110401T21_volumetric_soil_water_layer_1",0.4319611
"bnch.us","X20110401T22_volumetric_soil_water_layer_1",0.4300995
"bnch.us","X20110401T23_volumetric_soil_water_layer_1",0.4152985
"bnch.us","X20110402T00_volumetric_soil_water_layer_1",0.4229584
"bnch.us","X20110402T01_volumetric_soil_water_layer_1",0.4345551
"bnch.us","X20110402T02_volumetric_soil_water_layer_1",0.4238434
"bnch.us","X20110402T03_volumetric_soil_water_layer_1",0.4192657
"bnch.us","X20110402T04_volumetric_soil_water_layer_1",0.4275513
"bnch.us","X20110402T05_volumetric_soil_water_layer_1",0.4268646
"bnch.us","X20110402T06_volumetric_soil_water_layer_1",0.4344177
"bnch.us","X20110402T07_volumetric_soil_water_layer_1",0.438446
"bnch.us","X20110402T08_volumetric_soil_water_layer_1",0.4236298
"bnch.us","X20110402T09_volumetric_soil_water_layer_1",0.4066925
"bnch.us","X20110402T10_volumetric_soil_water_layer_1",0.4054565
"bnch.us","X20110402T11_volumetric_soil_water_layer_1",0.4044037
"bnch.us","X20110402T12_volumetric_soil_water_layer_1",0.4035339
"bnch.us","X20110402T13_volumetric_soil_water_layer_1",0.4027405
"bnch.us","X20110402T14_volumetric_soil_water_layer_1",0.4020081
"bnch.us","X20110402T15_volumetric_soil_water_layer_1",0.4012909
"bnch.us","X20110402T16_volumetric_soil_water_layer_1",0.4005737
"bnch.us","X20110402T17_volumetric_soil_water_layer_1",0.3998718
"bnch.us","X20110402T18_volumetric_soil_water_layer_1",0.3991241
"bnch.us","X20110402T19_volumetric_soil_water_layer_1",0.3983917
"bnch.us","X20110402T20_volumetric_soil_water_layer_1",0.3976746
"bnch.us","X20110402T21_volumetric_soil_water_layer_1",0.3969727
"bnch.us","X20110402T22_volumetric_soil_water_layer_1",0.3972626
