"site_code","daterange","soil_moisture"
"bogong.au","X20111001T00_volumetric_soil_water_layer_1",0.4136353
"bogong.au","X20111001T01_volumetric_soil_water_layer_1",0.4187927
"bogong.au","X20111001T02_volumetric_soil_water_layer_1",0.4243469
"bogong.au","X20111001T03_volumetric_soil_water_layer_1",0.4264221
"bogong.au","X20111001T04_volumetric_soil_water_layer_1",0.4268494
"bogong.au","X20111001T05_volumetric_soil_water_layer_1",0.4340973
"bogong.au","X20111001T06_volumetric_soil_water_layer_1",0.4305878
"bogong.au","X20111001T07_volumetric_soil_water_layer_1",0.4274445
"bogong.au","X20111001T08_volumetric_soil_water_layer_1",0.4254913
"bogong.au","X20111001T09_volumetric_soil_water_layer_1",0.4232483
"bogong.au","X20111001T10_volumetric_soil_water_layer_1",0.4216309
"bogong.au","X20111001T11_volumetric_soil_water_layer_1",0.4208984
"bogong.au","X20111001T12_volumetric_soil_water_layer_1",0.4200287
"bogong.au","X20111001T13_volumetric_soil_water_layer_1",0.4191284
"bogong.au","X20111001T14_volumetric_soil_water_layer_1",0.4185944
"bogong.au","X20111001T15_volumetric_soil_water_layer_1",0.4181519
"bogong.au","X20111001T16_volumetric_soil_water_layer_1",0.4177399
"bogong.au","X20111001T17_volumetric_soil_water_layer_1",0.4173431
"bogong.au","X20111001T18_volumetric_soil_water_layer_1",0.417511
"bogong.au","X20111001T19_volumetric_soil_water_layer_1",0.417572
"bogong.au","X20111001T20_volumetric_soil_water_layer_1",0.4176941
"bogong.au","X20111001T21_volumetric_soil_water_layer_1",0.4173584
"bogong.au","X20111001T22_volumetric_soil_water_layer_1",0.4171295
"bogong.au","X20111001T23_volumetric_soil_water_layer_1",0.4173584
"bogong.au","X20111002T00_volumetric_soil_water_layer_1",0.4180603
"bogong.au","X20111002T01_volumetric_soil_water_layer_1",0.4188232
"bogong.au","X20111002T02_volumetric_soil_water_layer_1",0.418335
"bogong.au","X20111002T03_volumetric_soil_water_layer_1",0.4177399
"bogong.au","X20111002T04_volumetric_soil_water_layer_1",0.4169922
"bogong.au","X20111002T05_volumetric_soil_water_layer_1",0.4161377
"bogong.au","X20111002T06_volumetric_soil_water_layer_1",0.4153442
"bogong.au","X20111002T07_volumetric_soil_water_layer_1",0.4144592
"bogong.au","X20111002T08_volumetric_soil_water_layer_1",0.4132538
"bogong.au","X20111002T09_volumetric_soil_water_layer_1",0.4120789
"bogong.au","X20111002T10_volumetric_soil_water_layer_1",0.4109955
"bogong.au","X20111002T11_volumetric_soil_water_layer_1",0.4099884
"bogong.au","X20111002T12_volumetric_soil_water_layer_1",0.4090424
"bogong.au","X20111002T13_volumetric_soil_water_layer_1",0.4081726
"bogong.au","X20111002T14_volumetric_soil_water_layer_1",0.4073639
"bogong.au","X20111002T15_volumetric_soil_water_layer_1",0.406601
"bogong.au","X20111002T16_volumetric_soil_water_layer_1",0.4059143
"bogong.au","X20111002T17_volumetric_soil_water_layer_1",0.4052582
"bogong.au","X20111002T18_volumetric_soil_water_layer_1",0.4046173
"bogong.au","X20111002T19_volumetric_soil_water_layer_1",0.4040222
"bogong.au","X20111002T20_volumetric_soil_water_layer_1",0.4034729
"bogong.au","X20111002T21_volumetric_soil_water_layer_1",0.4029083
"bogong.au","X20111002T22_volumetric_soil_water_layer_1",0.4024506
"bogong.au","X20111002T23_volumetric_soil_water_layer_1",0.4017029
"bogong.au","X20111003T00_volumetric_soil_water_layer_1",0.4007263
"bogong.au","X20111003T01_volumetric_soil_water_layer_1",0.3995667
"bogong.au","X20111003T02_volumetric_soil_water_layer_1",0.3983154
"bogong.au","X20111003T03_volumetric_soil_water_layer_1",0.3970642
"bogong.au","X20111003T04_volumetric_soil_water_layer_1",0.3958588
"bogong.au","X20111003T05_volumetric_soil_water_layer_1",0.3948364
"bogong.au","X20111003T06_volumetric_soil_water_layer_1",0.3940582
"bogong.au","X20111003T07_volumetric_soil_water_layer_1",0.3935242
"bogong.au","X20111003T08_volumetric_soil_water_layer_1",0.3932495
"bogong.au","X20111003T09_volumetric_soil_water_layer_1",0.3931122
"bogong.au","X20111003T10_volumetric_soil_water_layer_1",0.3929443
"bogong.au","X20111003T11_volumetric_soil_water_layer_1",0.3927917
"bogong.au","X20111003T12_volumetric_soil_water_layer_1",0.3926239
"bogong.au","X20111003T13_volumetric_soil_water_layer_1",0.3924408
"bogong.au","X20111003T14_volumetric_soil_water_layer_1",0.3922729
"bogong.au","X20111003T15_volumetric_soil_water_layer_1",0.3920746
"bogong.au","X20111003T16_volumetric_soil_water_layer_1",0.3918915
"bogong.au","X20111003T17_volumetric_soil_water_layer_1",0.3917084
"bogong.au","X20111003T18_volumetric_soil_water_layer_1",0.3915253
"bogong.au","X20111003T19_volumetric_soil_water_layer_1",0.3913269
"bogong.au","X20111003T20_volumetric_soil_water_layer_1",0.3911438
"bogong.au","X20111003T21_volumetric_soil_water_layer_1",0.3909149
"bogong.au","X20111003T22_volumetric_soil_water_layer_1",0.3907318
"bogong.au","X20111003T23_volumetric_soil_water_layer_1",0.390152
"bogong.au","X20111004T00_volumetric_soil_water_layer_1",0.3892517
"bogong.au","X20111004T01_volumetric_soil_water_layer_1",0.388092
"bogong.au","X20111004T02_volumetric_soil_water_layer_1",0.3868256
"bogong.au","X20111004T03_volumetric_soil_water_layer_1",0.3855438
"bogong.au","X20111004T04_volumetric_soil_water_layer_1",0.3843384
"bogong.au","X20111004T05_volumetric_soil_water_layer_1",0.383316
"bogong.au","X20111004T06_volumetric_soil_water_layer_1",0.3826294
"bogong.au","X20111004T07_volumetric_soil_water_layer_1",0.382309
"bogong.au","X20111004T08_volumetric_soil_water_layer_1",0.3822632
"bogong.au","X20111004T09_volumetric_soil_water_layer_1",0.382309
"bogong.au","X20111004T10_volumetric_soil_water_layer_1",0.3823547
"bogong.au","X20111004T11_volumetric_soil_water_layer_1",0.3823547
"bogong.au","X20111004T12_volumetric_soil_water_layer_1",0.3823395
"bogong.au","X20111004T13_volumetric_soil_water_layer_1",0.3823242
"bogong.au","X20111004T14_volumetric_soil_water_layer_1",0.3822937
"bogong.au","X20111004T15_volumetric_soil_water_layer_1",0.3822632
"bogong.au","X20111004T16_volumetric_soil_water_layer_1",0.3822174
"bogong.au","X20111004T17_volumetric_soil_water_layer_1",0.3821716
"bogong.au","X20111004T18_volumetric_soil_water_layer_1",0.3821259
"bogong.au","X20111004T19_volumetric_soil_water_layer_1",0.3820801
"bogong.au","X20111004T20_volumetric_soil_water_layer_1",0.382019
"bogong.au","X20111004T21_volumetric_soil_water_layer_1",0.381958
"bogong.au","X20111004T22_volumetric_soil_water_layer_1",0.3819733
"bogong.au","X20111004T23_volumetric_soil_water_layer_1",0.3814545
"bogong.au","X20111005T00_volumetric_soil_water_layer_1",0.3806152
"bogong.au","X20111005T01_volumetric_soil_water_layer_1",0.3796387
"bogong.au","X20111005T02_volumetric_soil_water_layer_1",0.3788147
"bogong.au","X20111005T03_volumetric_soil_water_layer_1",0.3778687
"bogong.au","X20111005T04_volumetric_soil_water_layer_1",0.3771057
"bogong.au","X20111005T05_volumetric_soil_water_layer_1",0.3764954
"bogong.au","X20111005T06_volumetric_soil_water_layer_1",0.3760376
"bogong.au","X20111005T07_volumetric_soil_water_layer_1",0.3758545
"bogong.au","X20111005T08_volumetric_soil_water_layer_1",0.375824
"bogong.au","X20111005T09_volumetric_soil_water_layer_1",0.3758545
"bogong.au","X20111005T10_volumetric_soil_water_layer_1",0.375885
"bogong.au","X20111005T11_volumetric_soil_water_layer_1",0.375946
"bogong.au","X20111005T12_volumetric_soil_water_layer_1",0.3762817
"bogong.au","X20111005T13_volumetric_soil_water_layer_1",0.3769226
"bogong.au","X20111005T14_volumetric_soil_water_layer_1",0.3773956
"bogong.au","X20111005T15_volumetric_soil_water_layer_1",0.3778076
"bogong.au","X20111005T16_volumetric_soil_water_layer_1",0.3781586
"bogong.au","X20111005T17_volumetric_soil_water_layer_1",0.3783875
"bogong.au","X20111005T18_volumetric_soil_water_layer_1",0.378479
"bogong.au","X20111005T19_volumetric_soil_water_layer_1",0.3786316
"bogong.au","X20111005T20_volumetric_soil_water_layer_1",0.3787079
"bogong.au","X20111005T21_volumetric_soil_water_layer_1",0.3789215
"bogong.au","X20111005T22_volumetric_soil_water_layer_1",0.379303
"bogong.au","X20111005T23_volumetric_soil_water_layer_1",0.3805847
"bogong.au","X20111006T00_volumetric_soil_water_layer_1",0.3838043
"bogong.au","X20111006T01_volumetric_soil_water_layer_1",0.3865356
"bogong.au","X20111006T02_volumetric_soil_water_layer_1",0.388443
"bogong.au","X20111006T03_volumetric_soil_water_layer_1",0.3896179
"bogong.au","X20111006T04_volumetric_soil_water_layer_1",0.3890991
"bogong.au","X20111006T05_volumetric_soil_water_layer_1",0.3917999
"bogong.au","X20111006T06_volumetric_soil_water_layer_1",0.3938293
"bogong.au","X20111006T07_volumetric_soil_water_layer_1",0.4016724
"bogong.au","X20111006T08_volumetric_soil_water_layer_1",0.4038086
"bogong.au","X20111006T09_volumetric_soil_water_layer_1",0.4055939
"bogong.au","X20111006T10_volumetric_soil_water_layer_1",0.4055481
"bogong.au","X20111006T11_volumetric_soil_water_layer_1",0.4039612
"bogong.au","X20111006T12_volumetric_soil_water_layer_1",0.4021759
"bogong.au","X20111006T13_volumetric_soil_water_layer_1",0.4005737
"bogong.au","X20111006T14_volumetric_soil_water_layer_1",0.3991699
"bogong.au","X20111006T15_volumetric_soil_water_layer_1",0.397934
"bogong.au","X20111006T16_volumetric_soil_water_layer_1",0.3968506
"bogong.au","X20111006T17_volumetric_soil_water_layer_1",0.3958588
"bogong.au","X20111006T18_volumetric_soil_water_layer_1",0.3949738
"bogong.au","X20111006T19_volumetric_soil_water_layer_1",0.3941803
"bogong.au","X20111006T20_volumetric_soil_water_layer_1",0.3934479
"bogong.au","X20111006T21_volumetric_soil_water_layer_1",0.3927917
"bogong.au","X20111006T22_volumetric_soil_water_layer_1",0.3921509
"bogong.au","X20111006T23_volumetric_soil_water_layer_1",0.39151
"bogong.au","X20111007T00_volumetric_soil_water_layer_1",0.3905487
"bogong.au","X20111007T01_volumetric_soil_water_layer_1",0.3903351
"bogong.au","X20111007T02_volumetric_soil_water_layer_1",0.3911896
"bogong.au","X20111007T03_volumetric_soil_water_layer_1",0.3919983
"bogong.au","X20111007T04_volumetric_soil_water_layer_1",0.3921051
"bogong.au","X20111007T05_volumetric_soil_water_layer_1",0.392807
"bogong.au","X20111007T06_volumetric_soil_water_layer_1",0.3928223
"bogong.au","X20111007T07_volumetric_soil_water_layer_1",0.3924408
"bogong.au","X20111007T08_volumetric_soil_water_layer_1",0.3919373
"bogong.au","X20111007T09_volumetric_soil_water_layer_1",0.3913269
"bogong.au","X20111007T10_volumetric_soil_water_layer_1",0.3914642
"bogong.au","X20111007T11_volumetric_soil_water_layer_1",0.3910675
"bogong.au","X20111007T12_volumetric_soil_water_layer_1",0.3905182
"bogong.au","X20111007T13_volumetric_soil_water_layer_1",0.3899689
"bogong.au","X20111007T14_volumetric_soil_water_layer_1",0.3894653
"bogong.au","X20111007T15_volumetric_soil_water_layer_1",0.3889923
"bogong.au","X20111007T16_volumetric_soil_water_layer_1",0.3885498
"bogong.au","X20111007T17_volumetric_soil_water_layer_1",0.3881073
"bogong.au","X20111007T18_volumetric_soil_water_layer_1",0.3877106
"bogong.au","X20111007T19_volumetric_soil_water_layer_1",0.3874359
"bogong.au","X20111007T20_volumetric_soil_water_layer_1",0.3876495
"bogong.au","X20111007T21_volumetric_soil_water_layer_1",0.3877411
"bogong.au","X20111007T22_volumetric_soil_water_layer_1",0.3878174
"bogong.au","X20111007T23_volumetric_soil_water_layer_1",0.3881531
"bogong.au","X20111008T00_volumetric_soil_water_layer_1",0.3889923
"bogong.au","X20111008T01_volumetric_soil_water_layer_1",0.3911133
"bogong.au","X20111008T02_volumetric_soil_water_layer_1",0.4006195
"bogong.au","X20111008T03_volumetric_soil_water_layer_1",0.4248962
"bogong.au","X20111008T04_volumetric_soil_water_layer_1",0.4142151
"bogong.au","X20111008T05_volumetric_soil_water_layer_1",0.4117737
"bogong.au","X20111008T06_volumetric_soil_water_layer_1",0.4094543
"bogong.au","X20111008T07_volumetric_soil_water_layer_1",0.4176788
"bogong.au","X20111008T08_volumetric_soil_water_layer_1",0.4221802
"bogong.au","X20111008T09_volumetric_soil_water_layer_1",0.4178467
"bogong.au","X20111008T10_volumetric_soil_water_layer_1",0.4150848
"bogong.au","X20111008T11_volumetric_soil_water_layer_1",0.4123383
"bogong.au","X20111008T12_volumetric_soil_water_layer_1",0.410202
"bogong.au","X20111008T13_volumetric_soil_water_layer_1",0.4098816
"bogong.au","X20111008T14_volumetric_soil_water_layer_1",0.4116516
"bogong.au","X20111008T15_volumetric_soil_water_layer_1",0.4102478
"bogong.au","X20111008T16_volumetric_soil_water_layer_1",0.4090576
"bogong.au","X20111008T17_volumetric_soil_water_layer_1",0.408493
"bogong.au","X20111008T18_volumetric_soil_water_layer_1",0.407608
"bogong.au","X20111008T19_volumetric_soil_water_layer_1",0.4068298
"bogong.au","X20111008T20_volumetric_soil_water_layer_1",0.4056702
"bogong.au","X20111008T21_volumetric_soil_water_layer_1",0.4047852
"bogong.au","X20111008T22_volumetric_soil_water_layer_1",0.4053497
"bogong.au","X20111008T23_volumetric_soil_water_layer_1",0.404953
"bogong.au","X20111009T00_volumetric_soil_water_layer_1",0.4063873
"bogong.au","X20111009T01_volumetric_soil_water_layer_1",0.4173737
