site_code,daterange,soil_moisture,
gilb.za,X20121001T00_volumetric_soil_water_layer_1,0.442672729,0.445992288
gilb.za,X20121001T01_volumetric_soil_water_layer_1,0.442611694,
gilb.za,X20121001T02_volumetric_soil_water_layer_1,0.4425354,
gilb.za,X20121001T03_volumetric_soil_water_layer_1,0.442474365,
gilb.za,X20121001T04_volumetric_soil_water_layer_1,0.442382813,
gilb.za,X20121001T05_volumetric_soil_water_layer_1,0.44229126,
gilb.za,X20121001T06_volumetric_soil_water_layer_1,0.441848755,
gilb.za,X20121001T07_volumetric_soil_water_layer_1,0.440444946,
gilb.za,X20121001T08_volumetric_soil_water_layer_1,0.439102173,
gilb.za,X20121001T09_volumetric_soil_water_layer_1,0.437576294,
gilb.za,X20121001T10_volumetric_soil_water_layer_1,0.436050415,
gilb.za,X20121001T11_volumetric_soil_water_layer_1,0.434616089,
gilb.za,X20121001T12_volumetric_soil_water_layer_1,0.433303833,
gilb.za,X20121001T13_volumetric_soil_water_layer_1,0.432159424,
gilb.za,X20121001T14_volumetric_soil_water_layer_1,0.431228638,
gilb.za,X20121001T15_volumetric_soil_water_layer_1,0.43069458,
gilb.za,X20121001T16_volumetric_soil_water_layer_1,0.430541992,
gilb.za,X20121001T17_volumetric_soil_water_layer_1,0.430587769,
gilb.za,X20121001T18_volumetric_soil_water_layer_1,0.430633545,
gilb.za,X20121001T19_volumetric_soil_water_layer_1,0.430679321,
gilb.za,X20121001T20_volumetric_soil_water_layer_1,0.430725098,
gilb.za,X20121001T21_volumetric_soil_water_layer_1,0.430755615,
gilb.za,X20121001T22_volumetric_soil_water_layer_1,0.430786133,
gilb.za,X20121001T23_volumetric_soil_water_layer_1,0.430831909,
gilb.za,X20121002T00_volumetric_soil_water_layer_1,0.430847168,
gilb.za,X20121002T01_volumetric_soil_water_layer_1,0.430877686,
gilb.za,X20121002T02_volumetric_soil_water_layer_1,0.430923462,
gilb.za,X20121002T03_volumetric_soil_water_layer_1,0.430938721,
gilb.za,X20121002T04_volumetric_soil_water_layer_1,0.430969238,
gilb.za,X20121002T05_volumetric_soil_water_layer_1,0.430892944,
gilb.za,X20121002T06_volumetric_soil_water_layer_1,0.43069458,
gilb.za,X20121002T07_volumetric_soil_water_layer_1,0.429367065,
gilb.za,X20121002T08_volumetric_soil_water_layer_1,0.427947998,
gilb.za,X20121002T09_volumetric_soil_water_layer_1,0.426498413,
gilb.za,X20121002T10_volumetric_soil_water_layer_1,0.425094604,
gilb.za,X20121002T11_volumetric_soil_water_layer_1,0.423736572,
gilb.za,X20121002T12_volumetric_soil_water_layer_1,0.42250061,
gilb.za,X20121002T13_volumetric_soil_water_layer_1,0.421432495,
gilb.za,X20121002T14_volumetric_soil_water_layer_1,0.420593262,
