,site_code,num_stat_ppt,stations_ppt,dist_mean_ppt,first_ppt_year,last_ppt_year,site_lat,site_long,site_fyear,site_lyear,yrs_mass_data,num_stat_tmp,stations_tmp,dist_mean_tmp,first_tmp_year,last_tmp_year,harvest_month,gs_start_month,gs_len
1,arch.us,2,"US1FLHL0001, USC00080236",13.27,1969,2020,27.15,-81.18333333,2015,2018,4,2,"USC00080236, USW00092827",17.685,1969,2020,10,5,6
2,badlau.de,3,"GME00102292, GME00125074, GME00127510",16.41,1890,2020,51.392138,11.877969,2015,2019,5,3,"GME00102292, GME00125074, GME00127510",16.41,1890,2020,10,4,7
3,bayr.de,1,Bayreuth,1.405,2013,2019,49.91666667,11.58333333,2016,2018,3,1,Bayreuth,1.405,2013,2019,9,3,7
4,bldr.us,3,"US1COBO0004, US1COBO0030, US1COBO0042",2.293333333,2001,2020,39.972022,-105.233544,2008,2016,9,1,USC00050848,3.59,1893,2020,8,3,6
5,bnch.us,2,"USC00350652, USS0021E07S",8.275,1960,2020,44.27668543,-121.9680169,2007,2018,12,1,USR0000OPEB,4.97,1991,2020,8,4,5
6,bogong.au,1,ASN00083084,1.95,1990,2020,-36.874,147.254,2009,2019,11,1,ASN00083084,1.95,1990,2020,1,10,4
7,burrawan.au,2,"ASN00041025, ASN00041062",19.395,1938,2019,-27.734896,151.139517,2008,2019,12,1,ASN00041522,64.81688,1992,2020,5,10,8
8,burren.ie,1,Carron,7.132,1975,2019,53.072023,-8.992624,2015,2018,4,0,NA,NA,NA,NA,8,2,7
9,cbgb.us,2,"USC00130203, USW00054902",25.285,1978,2020,41.78506667,-93.38538333,2009,2019,11,2,"USC00132209, USW00054902",27.69,1995,2020,10,5,6
10,cdcr.us,2,"USC00211227, USC00212881",20.36,1893,2020,45.425,-93.2115,2007,2018,12,2,"USC00212881, USR0000MCSA",20.68,1958,2020,8,4,5
11,cdpt.us,1,Keystone 3W Beta,1.678,1996,2019,41.2,-101.63,2007,2019,13,1,Keystone 3W Beta,1.678,1996,2019,7,4,4
12,chilcas.ar,1,Dolores,48.8,2010,2019,-36.275556,-58.265556,2013,2019,7,1,Dolores,48.8,2010,2019,3,8,8
13,comp.pt,1,Evora,81.866,2004,2019,38.82928,-8.791406,2013,2019,7,1,Evora,81.866,2004,2019,5,10,8
14,cowi.ca,1,CA001016995,10.16,1975,2020,48.8088,-123.6301,2007,2018,12,1,CA001016995,10.16,1975,2020,7,4,4
15,doane.us,2,"USC00252020, USW00094996",4.85,1893,2020,40.6954,-96.8541,2012,2017,6,2,"USC00252020, USW00094996",4.85,1893,2020,11,5,7
16,elliot.us,2,"USW00003131, USW00093107",9.055,1947,2020,32.875,-117.052243,2009,2019,10,2,"USW00003131, USW00093107",9.055,1947,2020,4,11,6
17,ethamc.au,1,Main Camp North,5.206,1995,2019,-23.7563333,138.4742833,2013,2019,6,1,Main Camp North,5.206,1995,2019,4,5,12
18,ethass.au,1,South Site,0,1995,2019,-23.63861,138.39897,2013,2019,6,1,South Site,0,1995,2019,4,5,12
19,frue.ch,1,Fruebuel,0.429,2005,2019,47.113187,8.541821,2008,2015,8,1,Fruebuel,0.429,2005,2019,9,4,6
20,hall.us,1,USC00157049,16.75,1893,2020,36.871944,-86.70167,2007,2014,8,1,USC00157049,16.75,1893,2020,9,4,6
21,hart.us,1,USC00353692,23.4,1939,2020,42.723745,-119.49767,2007,2012,6,2,"USR0000OFIS, USR0000OFOS",36.425,1986,2020,7,10,10
22,hero.uk,1,Silwood,0.271,1987,2019,51.411,-0.639,2008,2012,5,1,Silwood,0.271,1987,2019,10,4,7
23,hogone.us,2,"USC00446475, USW00003739",23.765,1955,2020,37.417,-75.686,2015,2016,2,2,"USC00446475, USW00003739",23.765,1955,2020,9,4,6
24,hopl.us,1,USW00023275,17.47,1949,2020,39.01275343,-123.0603134,2007,2019,13,1,USR0000CHLD,2.66,2001,2020,4,11,6
25,jena.de,1,GM000004204,3.65,1824,2020,50.93333333,11.53333333,2013,2018,6,1,GM000004204,3.65,1824,2020,10,3,8
26,kbs.us,1,USC00203504,1.71,1929,2020,42.408986,-85.3909,2013,2017,5,1,USC00203504,1.71,1929,2020,9,4,6
27,kibber.in,1,NA,NA,1981,2018,32.31972667,78.00954,2011,2018,8,1,NA,NA,1981,2018,8,5,4
28,kidman.au,1,ASN00014847,1.05,1969,2020,-16.10846,130.9531,2014,2015,2,1,ASN00014825,33.25,1965,2020,4,11,6
29,kilp.fi,1,FIE00146618,2.3,1978,2020,69.0567,20.8747,2013,2018,6,1,FIE00146622,0.81,1993,2020,8,6,3
30,kiny.au,2,"ASN00080002, ASN00080014",13.22,1881,2020,-36.2,143.75,2007,2018,11,1,ASN00080128,38.55,2004,2020,10,5,6
31,koffler.ca,1,CAW00064757,30.36,2004,2020,44.024047,-79.535881,2010,2019,10,1,CAW00064757,30.36,2004,2020,8,4,5
32,konz.us,2,"USW00003936, USW00053974",7.565,1960,2020,39.070856,-96.582821,2007,2018,11,2,"USW00003936, USW00053974",7.565,1960,2020,9,5,5
33,lancaster.uk,1,Hazelrigg,25.53,1966,2018,53.98562471,-2.628417566,2008,2017,8,1,Hazelrigg,25.53,1966,2018,8,3,6
34,look.us,1,UPLMET,3.199,1994,2019,44.20517707,-122.1284473,2007,2018,12,1,UPLMET,3.199,1994,2019,8,3,6
35,marc.ar,1,Mar del Plata,0,1970,2019,-37.71516,-57.42451,2011,2018,8,1,Mar del Plata,0,1970,2019,12,4,9
36,mcla.us,1,Knoxville creek,0.974,1985,2019,38.86427212,-122.4064063,2007,2019,13,1,Knoxville creek,0.974,1985,2019,4,11,6
37,msla.us,2,"US1MTRV0005, USC00247894",12.33,1911,2020,46.664613,-114.0005227,2017,2018,2,3,"USC00247894, USR0000MMIS, USR0000MSTE",19.11333333,1911,2020,7,4,4
38,mtca.au,2,"ASN00010044, ASN00010121",19.07,1911,2020,-31.782138,117.610853,2008,2018,11,1,ASN00010286,40.95,1996,2020,10,8,3
39,nilla.au,2,"ASN00082107, ASN00082165",5.29,1968,2020,-36.896,146.007,2016,2017,2,2,"ASN00082170, ASN00088023",38.15,1970,2020,1,2,12
40,ping.au,2,"ASN00010524, ASN00010626",12.62,1891,2020,-32.496169,116.972947,2013,2018,6,2,"ASN00010524, ASN00010626",12.62,1891,2020,10,4,7
41,rook.uk,1,Silwood,0.608,1987,2019,51.406,-0.644,2008,2012,5,1,Silwood,0.608,1987,2019,10,4,7
42,saana.fi,1,FIE00146618,3.29,1978,2020,69.0368,20.8433,2014,2019,6,1,FIE00146622,1.78,1993,2020,8,6,3
43,sage.us,1,USS0020K04S,4.84,1978,2020,39.43,-120.24,2007,2013,7,1,USS0020K04S,4.84,1978,2020,7,4,4
44,saline.us,2,"US1KSEL0001, USC00145628",19.545,1909,2020,39.05,-99.1,2008,2015,8,2,"USC00143527, USW00093997",30.615,1892,2020,9,5,5
45,sava.us,2,"USW00003820, USW00063826",29.63,1942,2020,33.343894,-81.650936,2007,2012,6,1,USR0000SSV1,3.66,2003,2020,10,3,8
46,sedg.us,1,USC00041253,13.46,1952,2020,34.7,-120.0166667,2007,2017,11,1,USC00041253,13.46,1952,2020,7,11,9
47,sevi.us,1,LTER_Deepwell,0.046,1991,2018,34.3592,-106.6905,2007,2018,12,1,LTER_Deepwell,0.046,1991,2018,11,4,8
48,sgs.us,1,USW00094074,1.46,2003,2020,40.81667,-104.76667,2007,2018,12,1,USW00094074,1.46,2003,2020,8,4,5
49,shps.us,1,USC00102707,0.19,1925,2020,44.242989,-112.198391,2007,2012,6,1,USC00102707,0.19,1925,2020,9,4,6
50,sier.us,1,USC00043800,1.48,1955,2020,39.23550963,-121.2836963,2007,2019,13,1,USR0000CBGR,20.04,1990,2020,4,11,6
51,smith.us,1,USC00451783,4.95,1895,2020,48.20658068,-122.624754,2007,2015,7,1,USC00451783,4.95,1895,2020,6,10,9
52,spin.us,1,USC00153194,9.79,1941,2020,38.135833,-84.500556,2007,2019,13,1,USW00093820,14.02,1872,2020,5,3,3
53,temple.us,1,USC00418646,17.13,1963,2020,31.044,-97.349,2007,2016,10,1,USC00418646,17.13,1963,2020,10,3,8
54,trel.us,2,"USC00111655, USC00111743",12.575,1910,2020,40.075,-88.829,2009,2017,9,2,"USC00112193, USW00003887",28.065,1893,2020,9,4,6
55,ukul.za,1,Ukulinga,0,1959,2019,-29.67,30.4,2009,2018,10,1,Ukulinga,0,1959,2019,4,9,8
56,unc.us,1,USC00311677,12.27,1891,2020,36.00828,-79.020423,2007,2011,5,1,USC00311677,12.27,1891,2020,9,4,6
57,valm.ch,1,Buffalora,8.321,2003,2019,46.631345,10.372252,2008,2019,11,1,Buffalora,8.321,2003,2019,8,6,3
58,veluwe.nl,1,NLE00152497,8.26,1953,2020,52.05972222,5.751666667,2017,2018,2,1,NLE00152497,8.26,1953,2020,8,3,6
59,yarra.au,1,ASN00067105,4.41,1993,2020,-33.61,150.73,2014,2019,6,1,ASN00067105,4.41,1993,2020,3,9,7
