"site_code","daterange","soil_moisture"
"konz.us","X20110501T00_volumetric_soil_water_layer_1",0.247406005859375
"konz.us","X20110501T01_volumetric_soil_water_layer_1",0.2469482421875
"konz.us","X20110501T02_volumetric_soil_water_layer_1",0.24688720703125
"konz.us","X20110501T03_volumetric_soil_water_layer_1",0.24688720703125
"konz.us","X20110501T04_volumetric_soil_water_layer_1",0.24688720703125
"konz.us","X20110501T05_volumetric_soil_water_layer_1",0.246902465820312
"konz.us","X20110501T06_volumetric_soil_water_layer_1",0.246994018554688
"konz.us","X20110501T07_volumetric_soil_water_layer_1",0.247055053710938
"konz.us","X20110501T08_volumetric_soil_water_layer_1",0.247085571289062
"konz.us","X20110501T09_volumetric_soil_water_layer_1",0.247100830078125
"konz.us","X20110501T10_volumetric_soil_water_layer_1",0.247085571289062
"konz.us","X20110501T11_volumetric_soil_water_layer_1",0.247100830078125
"konz.us","X20110501T12_volumetric_soil_water_layer_1",0.247177124023438
"konz.us","X20110501T13_volumetric_soil_water_layer_1",0.247314453125
"konz.us","X20110501T14_volumetric_soil_water_layer_1",0.247421264648438
"konz.us","X20110501T15_volumetric_soil_water_layer_1",0.247039794921875
"konz.us","X20110501T16_volumetric_soil_water_layer_1",0.246383666992188
"konz.us","X20110501T17_volumetric_soil_water_layer_1",0.247161865234375
"konz.us","X20110501T18_volumetric_soil_water_layer_1",0.245819091796875
"konz.us","X20110501T19_volumetric_soil_water_layer_1",0.244277954101562
"konz.us","X20110501T20_volumetric_soil_water_layer_1",0.242477416992188
"konz.us","X20110501T21_volumetric_soil_water_layer_1",0.240798950195312
"konz.us","X20110501T22_volumetric_soil_water_layer_1",0.239425659179688
"konz.us","X20110501T23_volumetric_soil_water_layer_1",0.238357543945312
"konz.us","X20110502T00_volumetric_soil_water_layer_1",0.237747192382812
"konz.us","X20110502T01_volumetric_soil_water_layer_1",0.23748779296875
"konz.us","X20110502T02_volumetric_soil_water_layer_1",0.237548828125
"konz.us","X20110502T03_volumetric_soil_water_layer_1",0.237716674804688
"konz.us","X20110502T04_volumetric_soil_water_layer_1",0.237884521484375
"konz.us","X20110502T05_volumetric_soil_water_layer_1",0.238052368164062
"konz.us","X20110502T06_volumetric_soil_water_layer_1",0.238235473632812
"konz.us","X20110502T07_volumetric_soil_water_layer_1",0.238418579101562
"konz.us","X20110502T08_volumetric_soil_water_layer_1",0.23858642578125
"konz.us","X20110502T09_volumetric_soil_water_layer_1",0.238723754882812
"konz.us","X20110502T10_volumetric_soil_water_layer_1",0.238845825195312
"konz.us","X20110502T11_volumetric_soil_water_layer_1",0.23895263671875
"konz.us","X20110502T12_volumetric_soil_water_layer_1",0.239044189453125
"konz.us","X20110502T13_volumetric_soil_water_layer_1",0.239044189453125
"konz.us","X20110502T14_volumetric_soil_water_layer_1",0.238845825195312
"konz.us","X20110502T15_volumetric_soil_water_layer_1",0.2381591796875
"konz.us","X20110502T16_volumetric_soil_water_layer_1",0.237167358398438
"konz.us","X20110502T17_volumetric_soil_water_layer_1",0.23583984375
"konz.us","X20110502T18_volumetric_soil_water_layer_1",0.234115600585938
"konz.us","X20110502T19_volumetric_soil_water_layer_1",0.232269287109375
"konz.us","X20110502T20_volumetric_soil_water_layer_1",0.230438232421875
"konz.us","X20110502T21_volumetric_soil_water_layer_1",0.228790283203125
"konz.us","X20110502T22_volumetric_soil_water_layer_1",0.227493286132812
"konz.us","X20110502T23_volumetric_soil_water_layer_1",0.2275390625
"konz.us","X20110503T00_volumetric_soil_water_layer_1",0.227096557617188
"konz.us","X20110503T01_volumetric_soil_water_layer_1",0.226882934570312
"konz.us","X20110503T02_volumetric_soil_water_layer_1",0.226898193359375
"konz.us","X20110503T03_volumetric_soil_water_layer_1",0.226959228515625
"konz.us","X20110503T04_volumetric_soil_water_layer_1",0.227005004882812
"konz.us","X20110503T05_volumetric_soil_water_layer_1",0.227081298828125
"konz.us","X20110503T06_volumetric_soil_water_layer_1",0.227188110351562
"konz.us","X20110503T07_volumetric_soil_water_layer_1",0.227294921875
"konz.us","X20110503T08_volumetric_soil_water_layer_1",0.227432250976562
"konz.us","X20110503T09_volumetric_soil_water_layer_1",0.227569580078125
"konz.us","X20110503T10_volumetric_soil_water_layer_1",0.22772216796875
"konz.us","X20110503T11_volumetric_soil_water_layer_1",0.2279052734375
"konz.us","X20110503T12_volumetric_soil_water_layer_1",0.228073120117188
"konz.us","X20110503T13_volumetric_soil_water_layer_1",0.228225708007812
"konz.us","X20110503T14_volumetric_soil_water_layer_1",0.228347778320312
"konz.us","X20110503T15_volumetric_soil_water_layer_1",0.2276611328125
"konz.us","X20110503T16_volumetric_soil_water_layer_1",0.226516723632812
"konz.us","X20110503T17_volumetric_soil_water_layer_1",0.225006103515625
"konz.us","X20110503T18_volumetric_soil_water_layer_1",0.223739624023438
"konz.us","X20110503T19_volumetric_soil_water_layer_1",0.222503662109375
"konz.us","X20110503T20_volumetric_soil_water_layer_1",0.220809936523438
"konz.us","X20110503T21_volumetric_soil_water_layer_1",0.219100952148438
"konz.us","X20110503T22_volumetric_soil_water_layer_1",0.217666625976562
"konz.us","X20110503T23_volumetric_soil_water_layer_1",0.21661376953125
"konz.us","X20110504T00_volumetric_soil_water_layer_1",0.215988159179688
"konz.us","X20110504T01_volumetric_soil_water_layer_1",0.215805053710938
"konz.us","X20110504T02_volumetric_soil_water_layer_1",0.215805053710938
"konz.us","X20110504T03_volumetric_soil_water_layer_1",0.215789794921875
"konz.us","X20110504T04_volumetric_soil_water_layer_1",0.215789794921875
"konz.us","X20110504T05_volumetric_soil_water_layer_1",0.2158203125
"konz.us","X20110504T06_volumetric_soil_water_layer_1",0.21588134765625
"konz.us","X20110504T07_volumetric_soil_water_layer_1",0.215911865234375
"konz.us","X20110504T08_volumetric_soil_water_layer_1",0.215972900390625
"konz.us","X20110504T09_volumetric_soil_water_layer_1",0.216018676757812
"konz.us","X20110504T10_volumetric_soil_water_layer_1",0.216064453125
"konz.us","X20110504T11_volumetric_soil_water_layer_1",0.216140747070312
"konz.us","X20110504T12_volumetric_soil_water_layer_1",0.2161865234375
"konz.us","X20110504T13_volumetric_soil_water_layer_1",0.216110229492188
"konz.us","X20110504T14_volumetric_soil_water_layer_1",0.215805053710938
"konz.us","X20110504T15_volumetric_soil_water_layer_1",0.2152099609375
"konz.us","X20110504T16_volumetric_soil_water_layer_1",0.2142333984375
"konz.us","X20110504T17_volumetric_soil_water_layer_1",0.21282958984375
"konz.us","X20110504T18_volumetric_soil_water_layer_1",0.211105346679688
"konz.us","X20110504T19_volumetric_soil_water_layer_1",0.209075927734375
"konz.us","X20110504T20_volumetric_soil_water_layer_1",0.20703125
