"site_code","daterange","soil_moisture"
"look.us","X20110301T00_volumetric_soil_water_layer_1",0.36578369140625
"look.us","X20110301T01_volumetric_soil_water_layer_1",0.367828369140625
"look.us","X20110301T02_volumetric_soil_water_layer_1",0.369247436523438
"look.us","X20110301T03_volumetric_soil_water_layer_1",0.370590209960938
"look.us","X20110301T04_volumetric_soil_water_layer_1",0.371597290039062
"look.us","X20110301T05_volumetric_soil_water_layer_1",0.37188720703125
"look.us","X20110301T06_volumetric_soil_water_layer_1",0.371994018554688
"look.us","X20110301T07_volumetric_soil_water_layer_1",0.373306274414062
"look.us","X20110301T08_volumetric_soil_water_layer_1",0.374954223632812
"look.us","X20110301T09_volumetric_soil_water_layer_1",0.377883911132812
"look.us","X20110301T10_volumetric_soil_water_layer_1",0.38092041015625
"look.us","X20110301T11_volumetric_soil_water_layer_1",0.384170532226562
"look.us","X20110301T12_volumetric_soil_water_layer_1",0.3868408203125
"look.us","X20110301T13_volumetric_soil_water_layer_1",0.390823364257812
"look.us","X20110301T14_volumetric_soil_water_layer_1",0.395004272460938
"look.us","X20110301T15_volumetric_soil_water_layer_1",0.398544311523438
"look.us","X20110301T16_volumetric_soil_water_layer_1",0.400619506835938
"look.us","X20110301T17_volumetric_soil_water_layer_1",0.405593872070312
"look.us","X20110301T18_volumetric_soil_water_layer_1",0.4111328125
"look.us","X20110301T19_volumetric_soil_water_layer_1",0.415756225585938
"look.us","X20110301T20_volumetric_soil_water_layer_1",0.421463012695312
"look.us","X20110301T21_volumetric_soil_water_layer_1",0.424148559570312
"look.us","X20110301T22_volumetric_soil_water_layer_1",0.426467895507812
"look.us","X20110301T23_volumetric_soil_water_layer_1",0.426803588867188
"look.us","X20110302T00_volumetric_soil_water_layer_1",0.425140380859375
"look.us","X20110302T01_volumetric_soil_water_layer_1",0.424041748046875
"look.us","X20110302T02_volumetric_soil_water_layer_1",0.420211791992188
"look.us","X20110302T03_volumetric_soil_water_layer_1",0.415359497070312
"look.us","X20110302T04_volumetric_soil_water_layer_1",0.412002563476562
"look.us","X20110302T05_volumetric_soil_water_layer_1",0.409423828125
"look.us","X20110302T06_volumetric_soil_water_layer_1",0.407302856445312
"look.us","X20110302T07_volumetric_soil_water_layer_1",0.405471801757812
"look.us","X20110302T08_volumetric_soil_water_layer_1",0.403823852539062
"look.us","X20110302T09_volumetric_soil_water_layer_1",0.402374267578125
"look.us","X20110302T10_volumetric_soil_water_layer_1",0.402053833007812
"look.us","X20110302T11_volumetric_soil_water_layer_1",0.400787353515625
"look.us","X20110302T12_volumetric_soil_water_layer_1",0.399673461914062
"look.us","X20110302T13_volumetric_soil_water_layer_1",0.399093627929688
"look.us","X20110302T14_volumetric_soil_water_layer_1",0.398483276367188
"look.us","X20110302T15_volumetric_soil_water_layer_1",0.397903442382812
"look.us","X20110302T16_volumetric_soil_water_layer_1",0.397720336914062
"look.us","X20110302T17_volumetric_soil_water_layer_1",0.401641845703125
"look.us","X20110302T18_volumetric_soil_water_layer_1",0.4146728515625
