"site_code","daterange","soil_moisture"
"mtca.au","X20110801T00_volumetric_soil_water_layer_1",0.257400512695312
"mtca.au","X20110801T01_volumetric_soil_water_layer_1",0.256439208984375
"mtca.au","X20110801T02_volumetric_soil_water_layer_1",0.255706787109375
"mtca.au","X20110801T03_volumetric_soil_water_layer_1",0.255035400390625
"mtca.au","X20110801T04_volumetric_soil_water_layer_1",0.254684448242188
"mtca.au","X20110801T05_volumetric_soil_water_layer_1",0.253448486328125
"mtca.au","X20110801T06_volumetric_soil_water_layer_1",0.252593994140625
"mtca.au","X20110801T07_volumetric_soil_water_layer_1",0.25238037109375
"mtca.au","X20110801T08_volumetric_soil_water_layer_1",0.251708984375
"mtca.au","X20110801T09_volumetric_soil_water_layer_1",0.25079345703125
"mtca.au","X20110801T10_volumetric_soil_water_layer_1",0.250335693359375
"mtca.au","X20110801T11_volumetric_soil_water_layer_1",0.249847412109375
"mtca.au","X20110801T12_volumetric_soil_water_layer_1",0.249588012695312
"mtca.au","X20110801T13_volumetric_soil_water_layer_1",0.250701904296875
"mtca.au","X20110801T14_volumetric_soil_water_layer_1",0.252227783203125
"mtca.au","X20110801T15_volumetric_soil_water_layer_1",0.252517700195312
"mtca.au","X20110801T16_volumetric_soil_water_layer_1",0.252243041992188
"mtca.au","X20110801T17_volumetric_soil_water_layer_1",0.251678466796875
"mtca.au","X20110801T18_volumetric_soil_water_layer_1",0.251129150390625
"mtca.au","X20110801T19_volumetric_soil_water_layer_1",0.250595092773438
"mtca.au","X20110801T20_volumetric_soil_water_layer_1",0.250106811523438
"mtca.au","X20110801T21_volumetric_soil_water_layer_1",0.249603271484375
"mtca.au","X20110801T22_volumetric_soil_water_layer_1",0.2491455078125
"mtca.au","X20110801T23_volumetric_soil_water_layer_1",0.248748779296875
"mtca.au","X20110802T00_volumetric_soil_water_layer_1",0.248367309570312
"mtca.au","X20110802T01_volumetric_soil_water_layer_1",0.248275756835938
"mtca.au","X20110802T02_volumetric_soil_water_layer_1",0.24810791015625
"mtca.au","X20110802T03_volumetric_soil_water_layer_1",0.248260498046875
"mtca.au","X20110802T04_volumetric_soil_water_layer_1",0.247665405273438
"mtca.au","X20110802T05_volumetric_soil_water_layer_1",0.247039794921875
"mtca.au","X20110802T06_volumetric_soil_water_layer_1",0.24908447265625
"mtca.au","X20110802T07_volumetric_soil_water_layer_1",0.25091552734375
"mtca.au","X20110802T08_volumetric_soil_water_layer_1",0.251968383789062
"mtca.au","X20110802T09_volumetric_soil_water_layer_1",0.251800537109375
"mtca.au","X20110802T10_volumetric_soil_water_layer_1",0.252731323242188
"mtca.au","X20110802T11_volumetric_soil_water_layer_1",0.263595581054688
"mtca.au","X20110802T12_volumetric_soil_water_layer_1",0.267196655273438
"mtca.au","X20110802T13_volumetric_soil_water_layer_1",0.266220092773438
"mtca.au","X20110802T14_volumetric_soil_water_layer_1",0.264892578125
"mtca.au","X20110802T15_volumetric_soil_water_layer_1",0.263626098632812
"mtca.au","X20110802T16_volumetric_soil_water_layer_1",0.262466430664062
"mtca.au","X20110802T17_volumetric_soil_water_layer_1",0.261383056640625
"mtca.au","X20110802T18_volumetric_soil_water_layer_1",0.260345458984375
"mtca.au","X20110802T19_volumetric_soil_water_layer_1",0.259384155273438
"mtca.au","X20110802T20_volumetric_soil_water_layer_1",0.258453369140625
"mtca.au","X20110802T21_volumetric_soil_water_layer_1",0.257598876953125
"mtca.au","X20110802T22_volumetric_soil_water_layer_1",0.256790161132812
"mtca.au","X20110802T23_volumetric_soil_water_layer_1",0.256027221679688
"mtca.au","X20110803T00_volumetric_soil_water_layer_1",0.255264282226562
"mtca.au","X20110803T01_volumetric_soil_water_layer_1",0.25433349609375
"mtca.au","X20110803T02_volumetric_soil_water_layer_1",0.254348754882812
"mtca.au","X20110803T03_volumetric_soil_water_layer_1",0.25286865234375
"mtca.au","X20110803T04_volumetric_soil_water_layer_1",0.251846313476562
"mtca.au","X20110803T05_volumetric_soil_water_layer_1",0.2503662109375
"mtca.au","X20110803T06_volumetric_soil_water_layer_1",0.248504638671875
"mtca.au","X20110803T07_volumetric_soil_water_layer_1",0.247116088867188
"mtca.au","X20110803T08_volumetric_soil_water_layer_1",0.246719360351562
"mtca.au","X20110803T09_volumetric_soil_water_layer_1",0.247024536132812
"mtca.au","X20110803T10_volumetric_soil_water_layer_1",0.246551513671875
"mtca.au","X20110803T11_volumetric_soil_water_layer_1",0.246078491210938
"mtca.au","X20110803T12_volumetric_soil_water_layer_1",0.245635986328125
"mtca.au","X20110803T13_volumetric_soil_water_layer_1",0.2452392578125
"mtca.au","X20110803T14_volumetric_soil_water_layer_1",0.24481201171875
"mtca.au","X20110803T15_volumetric_soil_water_layer_1",0.244430541992188
"mtca.au","X20110803T16_volumetric_soil_water_layer_1",0.244049072265625
"mtca.au","X20110803T17_volumetric_soil_water_layer_1",0.243698120117188
"mtca.au","X20110803T18_volumetric_soil_water_layer_1",0.24334716796875
"mtca.au","X20110803T19_volumetric_soil_water_layer_1",0.242996215820312
"mtca.au","X20110803T20_volumetric_soil_water_layer_1",0.242645263671875
"mtca.au","X20110803T21_volumetric_soil_water_layer_1",0.242324829101562
"mtca.au","X20110803T22_volumetric_soil_water_layer_1",0.24200439453125
"mtca.au","X20110803T23_volumetric_soil_water_layer_1",0.241683959960938
"mtca.au","X20110804T00_volumetric_soil_water_layer_1",0.241363525390625
"mtca.au","X20110804T01_volumetric_soil_water_layer_1",0.240890502929688
"mtca.au","X20110804T02_volumetric_soil_water_layer_1",0.240158081054688
"mtca.au","X20110804T03_volumetric_soil_water_layer_1",0.2388916015625
"mtca.au","X20110804T04_volumetric_soil_water_layer_1",0.237213134765625
"mtca.au","X20110804T05_volumetric_soil_water_layer_1",0.235671997070312
"mtca.au","X20110804T06_volumetric_soil_water_layer_1",0.234390258789062
"mtca.au","X20110804T07_volumetric_soil_water_layer_1",0.233352661132812
"mtca.au","X20110804T08_volumetric_soil_water_layer_1",0.232345581054688
"mtca.au","X20110804T09_volumetric_soil_water_layer_1",0.23175048828125
"mtca.au","X20110804T10_volumetric_soil_water_layer_1",0.231475830078125
"mtca.au","X20110804T11_volumetric_soil_water_layer_1",0.231277465820312
"mtca.au","X20110804T12_volumetric_soil_water_layer_1",0.231124877929688
"mtca.au","X20110804T13_volumetric_soil_water_layer_1",0.23095703125
"mtca.au","X20110804T14_volumetric_soil_water_layer_1",0.230804443359375
"mtca.au","X20110804T15_volumetric_soil_water_layer_1",0.23065185546875
"mtca.au","X20110804T16_volumetric_soil_water_layer_1",0.23052978515625
"mtca.au","X20110804T17_volumetric_soil_water_layer_1",0.230377197265625
"mtca.au","X20110804T18_volumetric_soil_water_layer_1",0.230255126953125
"mtca.au","X20110804T19_volumetric_soil_water_layer_1",0.230117797851562
"mtca.au","X20110804T20_volumetric_soil_water_layer_1",0.22998046875
"mtca.au","X20110804T21_volumetric_soil_water_layer_1",0.229843139648438
"mtca.au","X20110804T22_volumetric_soil_water_layer_1",0.229721069335938
"mtca.au","X20110804T23_volumetric_soil_water_layer_1",0.229583740234375
"mtca.au","X20110805T00_volumetric_soil_water_layer_1",0.229446411132812
"mtca.au","X20110805T01_volumetric_soil_water_layer_1",0.229110717773438
"mtca.au","X20110805T02_volumetric_soil_water_layer_1",0.228469848632812
"mtca.au","X20110805T03_volumetric_soil_water_layer_1",0.227264404296875
"mtca.au","X20110805T04_volumetric_soil_water_layer_1",0.225784301757812
"mtca.au","X20110805T05_volumetric_soil_water_layer_1",0.22418212890625
"mtca.au","X20110805T06_volumetric_soil_water_layer_1",0.222640991210938
"mtca.au","X20110805T07_volumetric_soil_water_layer_1",0.221359252929688
"mtca.au","X20110805T08_volumetric_soil_water_layer_1",0.220413208007812
"mtca.au","X20110805T09_volumetric_soil_water_layer_1",0.219955444335938
"mtca.au","X20110805T10_volumetric_soil_water_layer_1",0.219833374023438
