"site_code","daterange","soil_moisture"
"sgs.us","X20110401T00_volumetric_soil_water_layer_1",0.243728637695312
"sgs.us","X20110401T01_volumetric_soil_water_layer_1",0.243148803710938
"sgs.us","X20110401T02_volumetric_soil_water_layer_1",0.242752075195312
"sgs.us","X20110401T03_volumetric_soil_water_layer_1",0.242401123046875
"sgs.us","X20110401T04_volumetric_soil_water_layer_1",0.242050170898438
"sgs.us","X20110401T05_volumetric_soil_water_layer_1",0.241744995117188
"sgs.us","X20110401T06_volumetric_soil_water_layer_1",0.241439819335938
"sgs.us","X20110401T07_volumetric_soil_water_layer_1",0.241119384765625
"sgs.us","X20110401T08_volumetric_soil_water_layer_1",0.240829467773438
"sgs.us","X20110401T09_volumetric_soil_water_layer_1",0.240524291992188
"sgs.us","X20110401T10_volumetric_soil_water_layer_1",0.240234375
"sgs.us","X20110401T11_volumetric_soil_water_layer_1",0.239944458007812
"sgs.us","X20110401T12_volumetric_soil_water_layer_1",0.239669799804688
"sgs.us","X20110401T13_volumetric_soil_water_layer_1",0.239410400390625
"sgs.us","X20110401T14_volumetric_soil_water_layer_1",0.239059448242188
"sgs.us","X20110401T15_volumetric_soil_water_layer_1",0.238494873046875
"sgs.us","X20110401T16_volumetric_soil_water_layer_1",0.237579345703125
"sgs.us","X20110401T17_volumetric_soil_water_layer_1",0.23626708984375
"sgs.us","X20110401T18_volumetric_soil_water_layer_1",0.23480224609375
"sgs.us","X20110401T19_volumetric_soil_water_layer_1",0.233596801757812
"sgs.us","X20110401T20_volumetric_soil_water_layer_1",0.232025146484375
"sgs.us","X20110401T21_volumetric_soil_water_layer_1",0.230392456054688
"sgs.us","X20110401T22_volumetric_soil_water_layer_1",0.2288818359375
"sgs.us","X20110401T23_volumetric_soil_water_layer_1",0.227554321289062
"sgs.us","X20110402T00_volumetric_soil_water_layer_1",0.226593017578125
"sgs.us","X20110402T01_volumetric_soil_water_layer_1",0.226058959960938
"sgs.us","X20110402T02_volumetric_soil_water_layer_1",0.225799560546875
"sgs.us","X20110402T03_volumetric_soil_water_layer_1",0.225631713867188
"sgs.us","X20110402T04_volumetric_soil_water_layer_1",0.22552490234375
"sgs.us","X20110402T05_volumetric_soil_water_layer_1",0.225418090820312
"sgs.us","X20110402T06_volumetric_soil_water_layer_1",0.225311279296875
"sgs.us","X20110402T07_volumetric_soil_water_layer_1",0.2252197265625
"sgs.us","X20110402T08_volumetric_soil_water_layer_1",0.225143432617188
"sgs.us","X20110402T09_volumetric_soil_water_layer_1",0.225067138671875
"sgs.us","X20110402T10_volumetric_soil_water_layer_1",0.224990844726562
"sgs.us","X20110402T11_volumetric_soil_water_layer_1",0.224899291992188
"sgs.us","X20110402T12_volumetric_soil_water_layer_1",0.224822998046875
"sgs.us","X20110402T13_volumetric_soil_water_layer_1",0.224761962890625
"sgs.us","X20110402T14_volumetric_soil_water_layer_1",0.224655151367188
"sgs.us","X20110402T15_volumetric_soil_water_layer_1",0.22454833984375
"sgs.us","X20110402T16_volumetric_soil_water_layer_1",0.22381591796875
"sgs.us","X20110402T17_volumetric_soil_water_layer_1",0.2225341796875
"sgs.us","X20110402T18_volumetric_soil_water_layer_1",0.220809936523438
"sgs.us","X20110402T19_volumetric_soil_water_layer_1",0.218765258789062
"sgs.us","X20110402T20_volumetric_soil_water_layer_1",0.216827392578125
"sgs.us","X20110402T21_volumetric_soil_water_layer_1",0.214767456054688
"sgs.us","X20110402T22_volumetric_soil_water_layer_1",0.212890625
"sgs.us","X20110402T23_volumetric_soil_water_layer_1",0.21136474609375
"sgs.us","X20110403T00_volumetric_soil_water_layer_1",0.210281372070312
"sgs.us","X20110403T01_volumetric_soil_water_layer_1",0.209701538085938
"sgs.us","X20110403T02_volumetric_soil_water_layer_1",0.209457397460938
"sgs.us","X20110403T03_volumetric_soil_water_layer_1",0.209274291992188
"sgs.us","X20110403T04_volumetric_soil_water_layer_1",0.209136962890625
"sgs.us","X20110403T05_volumetric_soil_water_layer_1",0.209030151367188
"sgs.us","X20110403T06_volumetric_soil_water_layer_1",0.20892333984375
"sgs.us","X20110403T07_volumetric_soil_water_layer_1",0.208831787109375
