"","Var","df","Slope","SE","p","RelImp"
"1","Soil N",1,NA,NA,7.24953123000474e-64,1.30383095454263
"2","Soil P",1,NA,NA,0.337131901536653,0.36568242730051
"3","Soil K+µ",1,NA,NA,0.369164005217454,0.373979213047018
"4","Temperature",1,-0.0335302527697946,0.00644749758619745,1.67016726051029e-07,3.15901594293324
"5","ln PAR",1,0.0718595525737883,0.150397706437198,0.626326079175244,27.4928527270785
"6","ln LMA",1,0.944192302181405,0.0101851798106412,0,47.4520754390021
"7","χ",1,-0.116308544751054,0.094489829965052,0.216816362659384,4.02280978562841
"8","N fixer",1,NA,NA,1.1552110242469e-14,4.15631736910085
"9","C3/C4",1,NA,NA,1.48935200676757e-10,3.94571417137571
"10","Soil N x Soil P",1,NA,NA,0.00147495540230717,0.242133548553776
"11","Soil N x Soil K",1,NA,NA,0.568747957599643,0.28514448990759
"12","Soil P x Soil K",1,NA,NA,0.90646996814666,0.152437356020852
"13","Soil N x Soil P x Soil K",1,NA,NA,0.746799489838799,0.134172576926368
