"site_code","daterange","soil_moisture"
"unc.us","X20110401T00_volumetric_soil_water_layer_1",0.500381469726562
"unc.us","X20110401T01_volumetric_soil_water_layer_1",0.50006103515625
"unc.us","X20110401T02_volumetric_soil_water_layer_1",0.5013427734375
"unc.us","X20110401T03_volumetric_soil_water_layer_1",0.501968383789062
"unc.us","X20110401T04_volumetric_soil_water_layer_1",0.5001220703125
"unc.us","X20110401T05_volumetric_soil_water_layer_1",0.498138427734375
"unc.us","X20110401T06_volumetric_soil_water_layer_1",0.496505737304688
"unc.us","X20110401T07_volumetric_soil_water_layer_1",0.4951171875
"unc.us","X20110401T08_volumetric_soil_water_layer_1",0.493927001953125
"unc.us","X20110401T09_volumetric_soil_water_layer_1",0.49285888671875
"unc.us","X20110401T10_volumetric_soil_water_layer_1",0.491867065429688
"unc.us","X20110401T11_volumetric_soil_water_layer_1",0.490921020507812
"unc.us","X20110401T12_volumetric_soil_water_layer_1",0.489990234375
"unc.us","X20110401T13_volumetric_soil_water_layer_1",0.48895263671875
"unc.us","X20110401T14_volumetric_soil_water_layer_1",0.487548828125
"unc.us","X20110401T15_volumetric_soil_water_layer_1",0.485549926757812
"unc.us","X20110401T16_volumetric_soil_water_layer_1",0.483184814453125
"unc.us","X20110401T17_volumetric_soil_water_layer_1",0.480819702148438
"unc.us","X20110401T18_volumetric_soil_water_layer_1",0.478622436523438
"unc.us","X20110401T19_volumetric_soil_water_layer_1",0.476593017578125
"unc.us","X20110401T20_volumetric_soil_water_layer_1",0.474700927734375
"unc.us","X20110401T21_volumetric_soil_water_layer_1",0.4730224609375
"unc.us","X20110401T22_volumetric_soil_water_layer_1",0.471694946289062
"unc.us","X20110401T23_volumetric_soil_water_layer_1",0.470809936523438
"unc.us","X20110402T00_volumetric_soil_water_layer_1",0.470443725585938
"unc.us","X20110402T01_volumetric_soil_water_layer_1",0.470260620117188
"unc.us","X20110402T02_volumetric_soil_water_layer_1",0.470108032226562
"unc.us","X20110402T03_volumetric_soil_water_layer_1",0.470001220703125
"unc.us","X20110402T04_volumetric_soil_water_layer_1",0.470046997070312
"unc.us","X20110402T05_volumetric_soil_water_layer_1",0.471359252929688
"unc.us","X20110402T06_volumetric_soil_water_layer_1",0.472671508789062
"unc.us","X20110402T07_volumetric_soil_water_layer_1",0.474014282226562
"unc.us","X20110402T08_volumetric_soil_water_layer_1",0.475677490234375
"unc.us","X20110402T09_volumetric_soil_water_layer_1",0.475570678710938
"unc.us","X20110402T10_volumetric_soil_water_layer_1",0.475296020507812
"unc.us","X20110402T11_volumetric_soil_water_layer_1",0.47503662109375
"unc.us","X20110402T12_volumetric_soil_water_layer_1",0.474761962890625
"unc.us","X20110402T13_volumetric_soil_water_layer_1",0.474334716796875
"unc.us","X20110402T14_volumetric_soil_water_layer_1",0.4735107421875
"unc.us","X20110402T15_volumetric_soil_water_layer_1",0.472579956054688
"unc.us","X20110402T16_volumetric_soil_water_layer_1",0.47015380859375
"unc.us","X20110402T17_volumetric_soil_water_layer_1",0.467376708984375
"unc.us","X20110402T18_volumetric_soil_water_layer_1",0.464431762695312
"unc.us","X20110402T19_volumetric_soil_water_layer_1",0.461349487304688
"unc.us","X20110402T20_volumetric_soil_water_layer_1",0.458572387695312
"unc.us","X20110402T21_volumetric_soil_water_layer_1",0.45635986328125
"unc.us","X20110402T22_volumetric_soil_water_layer_1",0.454620361328125
"unc.us","X20110402T23_volumetric_soil_water_layer_1",0.453582763671875
"unc.us","X20110403T00_volumetric_soil_water_layer_1",0.45318603515625
"unc.us","X20110403T01_volumetric_soil_water_layer_1",0.452972412109375
"unc.us","X20110403T02_volumetric_soil_water_layer_1",0.452835083007812
"unc.us","X20110403T03_volumetric_soil_water_layer_1",0.452850341796875
"unc.us","X20110403T04_volumetric_soil_water_layer_1",0.45294189453125
"unc.us","X20110403T05_volumetric_soil_water_layer_1",0.45306396484375
"unc.us","X20110403T06_volumetric_soil_water_layer_1",0.45318603515625
"unc.us","X20110403T07_volumetric_soil_water_layer_1",0.453338623046875
"unc.us","X20110403T08_volumetric_soil_water_layer_1",0.4534912109375
"unc.us","X20110403T09_volumetric_soil_water_layer_1",0.453643798828125
"unc.us","X20110403T10_volumetric_soil_water_layer_1",0.453781127929688
"unc.us","X20110403T11_volumetric_soil_water_layer_1",0.45391845703125
"unc.us","X20110403T12_volumetric_soil_water_layer_1",0.454010009765625
"unc.us","X20110403T13_volumetric_soil_water_layer_1",0.453994750976562
"unc.us","X20110403T14_volumetric_soil_water_layer_1",0.453277587890625
"unc.us","X20110403T15_volumetric_soil_water_layer_1",0.451583862304688
"unc.us","X20110403T16_volumetric_soil_water_layer_1",0.449295043945312
"unc.us","X20110403T17_volumetric_soil_water_layer_1",0.446670532226562
"unc.us","X20110403T18_volumetric_soil_water_layer_1",0.443878173828125
"unc.us","X20110403T19_volumetric_soil_water_layer_1",0.441085815429688
"unc.us","X20110403T20_volumetric_soil_water_layer_1",0.438629150390625
"unc.us","X20110403T21_volumetric_soil_water_layer_1",0.436630249023438
"unc.us","X20110403T22_volumetric_soil_water_layer_1",0.435287475585938
"unc.us","X20110403T23_volumetric_soil_water_layer_1",0.434860229492188
"unc.us","X20110404T00_volumetric_soil_water_layer_1",0.43487548828125
"unc.us","X20110404T01_volumetric_soil_water_layer_1",0.434921264648438
"unc.us","X20110404T02_volumetric_soil_water_layer_1",0.43499755859375
"unc.us","X20110404T03_volumetric_soil_water_layer_1",0.43505859375
"unc.us","X20110404T04_volumetric_soil_water_layer_1",0.43505859375
"unc.us","X20110404T05_volumetric_soil_water_layer_1",0.435028076171875
