site_code,Family,local_name,standard_taxon,number_plots_observed,provenance,lifespan,lifeform,functional_group,photosynthetic_pathway
abisko.se,NULL,Bryophyte,Bryophyte,10,NULL,NULL,NULL,BRYOPHYTE,NULL
abisko.se,NULL,Lichen,Lichen,8,NULL,NULL,NULL,LICHEN,NULL
abisko.se,Caprifoliaceae,"Linnaea borealis","Linnaea borealis",1,NAT,PERENNIAL,FORB,FORB,NULL
abisko.se,Compositae,"Saussurea alpina","Saussurea alpina",2,NAT,PERENNIAL,FORB,FORB,NULL
abisko.se,Compositae,"Solidago virgaurea","Solidago virgaurea",3,NAT,PERENNIAL,FORB,FORB,NULL
abisko.se,Cyperaceae,"Carex bigelowii","Carex bigelowii",7,NAT,PERENNIAL,GRAMINOID,GRAMINOID,NULL
abisko.se,Equisetaceae,"Equisetum arvense","Equisetum arvense",9,NAT,PERENNIAL,HORSETAIL,FORB,NULL
abisko.se,Ericaceae,"Empetrum nigrum","Empetrum nigrum",6,NAT,PERENNIAL,"CREEPING TUNDRA GROUND SHRUB",WOODY,NULL
abisko.se,Ericaceae,"Vaccinium myrtillus","Vaccinium myrtillus",3,NAT,PERENNIAL,"CREEPING TUNDRA GROUND SHRUB",WOODY,NULL
abisko.se,Ericaceae,"Vaccinium uliginosum","Vaccinium uliginosum",4,NAT,PERENNIAL,"CREEPING TUNDRA GROUND SHRUB",WOODY,NULL
abisko.se,Ericaceae,"Vaccinium vitis-idaea","Vaccinium vitis-idaea",10,NAT,PERENNIAL,"CREEPING TUNDRA GROUND SHRUB",WOODY,NULL
abisko.se,Geraniaceae,"Geranium sylvaticum","Geranium sylvaticum",2,NAT,PERENNIAL,FORB,FORB,NULL
abisko.se,Onagraceae,"Chamerion angustifolium","Epilobium angustifolium",2,NAT,PERENNIAL,FORB,FORB,NULL
abisko.se,Orobanchaceae,"Melampyrum pratense","Melampyrum pratense",1,NAT,PERENNIAL,FORB,FORB,NULL
abisko.se,Poaceae,"Deschampsia flexuosa","Deschampsia flexuosa",10,NAT,PERENNIAL,GRASS,GRASS,C3
abisko.se,Poaceae,"Poa alpina","Poa alpina",3,NAT,PERENNIAL,GRASS,GRASS,C3
abisko.se,Primulaceae,"Trientalis europaea","Lysimachia europaea",9,NAT,PERENNIAL,FORB,FORB,NULL
abisko.se,Ranunculaceae,"Ranunculus acris","Ranunculus acris",1,NAT,PERENNIAL,FORB,FORB,NULL
abisko.se,Rosaceae,"Rubus chamaemorus","Rubus chamaemorus",1,NAT,PERENNIAL,"CREEPING TUNDRA GROUND SHRUB",FORB,NULL
abisko.se,Rosaceae,"Rubus saxatilis","Rubus saxatilis",1,NAT,PERENNIAL,SHRUB,WOODY,NULL
abisko.se,Violaceae,"Viola biflora","Viola biflora",1,NAT,PERENNIAL,FORB,FORB,NULL
amcamp.us,NULL,Moss,Bryophyte,25,UNK,NULL,NULL,BRYOPHYTE,NULL
amcamp.us,Boraginaceae,"Myosotis discolor","Myosotis discolor",15,INT,PERENNIAL,HERB,FORB,NULL
amcamp.us,Brassicaceae,"Cardamine oligosperma","Cardamine oligosperma",24,NAT,BIENNIAL,HERB,FORB,NULL
amcamp.us,Caryophyllaceae,"Cerastium glomeratum","Cerastium glomeratum",13,INT,ANNUAL,HERB,FORB,NULL
amcamp.us,Compositae,"Cirsium arvense","Cirsium arvense",11,INT,PERENNIAL,HERB,FORB,NULL
amcamp.us,Compositae,"Cirsium vulgare","Cirsium vulgare",1,INT,BIENNIAL,HERB,FORB,NULL
amcamp.us,Compositae,"Hypochaeris glabra","Hypochaeris glabra",15,INT,ANNUAL,HERB,FORB,NULL
amcamp.us,Compositae,"Hypochaeris radicata","Hypochaeris radicata",9,INT,PERENNIAL,HERB,FORB,NULL
amcamp.us,Compositae,"Taraxacum officinale","Taraxacum campylodes",9,INT,PERENNIAL,HERB,FORB,NULL
amcamp.us,Dennstaedtiaceae,"Pteridium aquilinum","Pteridium aquilinum",5,NAT,PERENNIAL,HERB,FORB,NULL
amcamp.us,Fabaceae,"Vicia hirsuta","Vicia hirsuta",30,INT,ANNUAL,HERB,LEGUME,NULL
amcamp.us,Fabaceae,"Vicia sativa","Vicia sativa",30,INT,ANNUAL,HERB,LEGUME,NULL
amcamp.us,Geraniaceae,"Geranium molle","Geranium molle",2,INT,BIENNIAL,HERB,FORB,NULL
amcamp.us,Montiaceae,"Claytonia perfoliata","Claytonia perfoliata",4,NAT,PERENNIAL,HERB,FORB,NULL
amcamp.us,Orobanchaceae,"Triphysaria pusilla","Triphysaria pusilla",1,NAT,ANNUAL,HERB,FORB,NULL
amcamp.us,Poaceae,"Bromus diandrus","Bromus diandrus",4,INT,PERENNIAL,GRASS,GRASS,C3
amcamp.us,Poaceae,"Bromus hordeaceus","Bromus hordeaceus",24,INT,ANNUAL,GRASS,GRASS,C3
amcamp.us,Poaceae,"Bromus sitchensis","Bromus sitchensis",2,NAT,PERENNIAL,GRASS,GRASS,C3
amcamp.us,Poaceae,"Elymus repens","Elymus repens",16,INT,PERENNIAL,GRASS,GRASS,C3
amcamp.us,Poaceae,"Holcus lanatus","Holcus lanatus",21,INT,PERENNIAL,GRASS,GRASS,C3
amcamp.us,Poaceae,"Poa compressa","Poa compressa",21,INT,PERENNIAL,GRASS,GRASS,C3
amcamp.us,Poaceae,"Poa pratensis","Poa pratensis",27,INT,PERENNIAL,GRASS,GRASS,C3
amcamp.us,Poaceae,"Schedonorus pratensis","Festuca pratensis",21,INT,PERENNIAL,GRASS,GRASS,C3
amcamp.us,Polygonaceae,"Rumex acetosella","Rumex acetosella",17,INT,PERENNIAL,HERB,FORB,NULL
amcamp.us,Rosaceae,"Rubus ursinus","Rubus ursinus",2,NAT,PERENNIAL,SHRUB,WOODY,NULL
amcamp.us,Rubiaceae,"Galium aparine","Galium aparine",15,NAT,ANNUAL,HERB,FORB,NULL
amcamp.us,Scrophulariaceae,"Veronica arvensis","Veronica arvensis",21,INT,ANNUAL,HERB,FORB,NULL
anti.ec,NULL,"Briophyta sp. 1","Bryophyte sp.",10,NULL,NULL,NULL,BRYOPHYTE,NULL
anti.ec,NULL,"Briophyta sp. 2","Bryophyte sp.",1,NULL,NULL,NULL,BRYOPHYTE,NULL
anti.ec,NULL,"Briophyta sp. 3","Bryophyte sp.",3,NULL,NULL,NULL,BRYOPHYTE,NULL
anti.ec,NULL,"Briophyta sp. 4","Bryophyte sp.",36,NULL,NULL,NULL,BRYOPHYTE,NULL
anti.ec,NULL,"Briophyta sp. 5","Bryophyte sp.",12,NULL,NULL,NULL,BRYOPHYTE,NULL
anti.ec,NULL,"Briophyta sp. 6","Bryophyte sp.",8,NULL,NULL,NULL,BRYOPHYTE,NULL
anti.ec,NULL,"Briophyta sp. 7","Bryophyte sp.",15,NULL,NULL,NULL,BRYOPHYTE,NULL
anti.ec,NULL,"Briophyta sp. 8","Bryophyte sp.",3,NULL,NULL,NULL,BRYOPHYTE,NULL
anti.ec,NULL,"Briophyta sp. 9","Bryophyte sp.",2,NULL,NULL,NULL,BRYOPHYTE,NULL
anti.ec,NULL,"Liquen sp. 1","Lichen sp.",17,NULL,NULL,NULL,NULL,NULL
anti.ec,NULL,"Liquen sp. 2","Lichen sp.",1,NULL,NULL,NULL,NULL,NULL
anti.ec,NULL,"Liquen sp. 3","Lichen sp.",1,NULL,NULL,NULL,NULL,NULL
anti.ec,NULL,"Liquen sp. 4","Lichen sp.",4,NULL,NULL,NULL,NULL,NULL
